Faixa etária;Quantitativo;Porcentagem;Ano
21 a 24 anos;49;0,32;2000
25 a 29 anos;250;1,65;2000
30 a 34 anos;840;5,54;2000
35 a 39 anos;2001;13,2;2000
40 a 44 anos;2802;18,49;2000
45 a 49 anos;3100;20,46;2000
50 a 54 anos;2439;16,09 ;2000
55 a 59 anos;1691;11,16;2000
60 a 64 anos;1071;7,07;2000
65 a 69 anos;539;3,56;2000
70 a 74 anos;251;1,66;2000
>74 anos;117;0,77;2000
<21 anos;5;0,01;2000
21 a 24 anos;86;0,53;2004
25 a 29 anos;302;1,87;2004
30 a 34 anos;302;5,50 ;2004
35 a 39 anos;1989;12,33;2004
40 a 44 anos;3038;18,84 ;2004
45 a 49 anos;3093;19,18;2004
50 a 54 anos;2833;17,57;2004
55 a 59 anos;1878;11,65;2004
60 a 64 anos;1079;6,69;2004
65 a 69 anos;560;3,47 ;2004
70 a 74 anos;243;1,51;2004
>74 anos;136;0,69;2004
<21 anos;3;0,02;2004
21 a 24 anos;76;0,49;2008
25 a 29 anos;341;2,18 ;2008
30 a 34 anos;764;4,89;2008
35 a 39 anos;1526;9,77;2008
40 a 44 anos;2747;17,59;2008
45 a 49 anos;3106;19,89;2008
50 a 54 anos;2687;17,21;2008
55 a 59 anos;2078;13,31;2008
60 a 64 anos;1291;8,27;2008
65 a 69 anos;593;3,8;2008
70 a 74 anos;265;1,7;2008
>74 anos;141;0,91;2008
<21 anos;2;0,02;2008
21 a 24 anos;95;0,6;2012
25 a 29 anos;406;2,56;2012
30 a 34 anos;965;6,09;2012
35 a 39 anos;1616;10,2;2012
40 a 44 anos;2349;14,82;2012
45 a 49 anos;3082;19,45;2012
50 a 54 anos;2819;17,79;2012
55 a 59 anos;2087;13,17;2012
60 a 64 anos;1335;8,42;2012
65 a 69 anos;639;4,03;2012
70 a 74 anos;280;1,77;2012
>74 anos;118;1,1;2012
<21 anos;0;0;2012
21 a 24 anos;80;0,48;2016
25 a 29 anos;383;2,31;2016
30 a 34 anos;981;5,92;2016
35 a 39 anos;1788;10,79;2016
40 a 44 anos;2341;14,13;2016
45 a 49 anos;2796;16,87;2016
50 a 54 anos;2999;18,1;2016
55 a 59 anos;2213;13,35;2016
60 a 64 anos;1609;9,71;2016
65 a 69 anos;804;4,85;2016
70 a 74 anos;403;2,43;2016
>74 anos;168;1,02;2016
<21 anos;0;0;2016
21 a 24 anos;86;0,44;2020
25 a 29 anos;376;1,94;2020
30 a 34 anos;1084;5,59;2020
35 a 39 anos;2100;10,84;2020
40 a 44 anos;2819;14,55;2020
45 a 49 anos;3063;15,81;2020
50 a 54 anos;3177;16,39;2020
55 a 59 anos;2811;14,51;2020
60 a 64 anos;1882;9,71;2020
65 a 69 anos;1128;5,82;2020
70 a 74 anos;550;2,84;2020
>74 anos;275;1,43;2020
<21 anos;0;0;2020
21 a 24 anos;59;0,38;2024
25 a 29 anos;268;1,72;2024
30 a 34 anos;753;4,83;2024
35 a 39 anos;1582;10,16;2024
40 a 44 anos;2325;14,93;2024
45 a 49 anos;2457;15,78;2024
50 a 54 anos;2356;15,13;2024
55 a 59 anos;2128;13,66;2024
60 a 64 anos;1787;11,47;2024
65 a 69 anos;1047;6,72;2024
70 a 74 anos;552;3,54;2024
>74 anos;257;1,65;2024
<21 anos;0;0;2024
